Name,Date,Amount
User_1853,2016-01-09,105.0
User_893,2020-03-25,95.92
User_1827,2015-10-03,94.51
User_589,2024-03-10,109.36
User_496,2022-04-07,90.89
User_1966,2018-08-16,91.0
User_925,2023-09-22,103.11
User_1386,2024-04-09,105.9
User_1210,2014-05-30,94.29
User_233,2015-01-05,104.18
User_160,2014-09-19,103.79
User_542,2024-01-15,95.4
User_160,2018-04-01,96.0
User_820,2015-02-02,99.11
User_1774,2017-03-26,106.05
User_1841,2020-08-28,103.96
User_1926,2022-10-20,94.53
User_1114,2018-08-08,102.25
User_1347,2024-02-29,91.04
User_1837,2020-04-17,99.95
User_119,2015-12-14,101.3
User_160,2022-10-06,107.31
User_576,2022-02-11,96.31
User_1732,2018-08-29,93.81
User_1524,2019-04-12,102.36
User_327,2020-03-08,94.92
User_122,2022-08-12,96.16
User_1368,2019-07-12,92.47
User_651,2021-08-27,100.72
User_1707,2019-02-14,95.81
User_1159,2019-01-27,105.17
User_279,2023-12-27,102.96
User_1480,2015-05-03,109.54
User_110,2021-02-24,98.41
User_1575,2016-02-01,91.36
User_1001,2019-03-19,94.28
User_1810,2019-02-06,107.13
User_783,2019-01-19,103.13
User_1405,2015-07-10,97.76
User_1472,2016-05-15,107.03
User_670,2017-05-18,100.39
User_758,2017-05-24,106.23
User_1980,2020-02-04,107.02
User_1538,2023-03-18,99.79
User_1179,2020-07-28,90.24
User_1795,2015-04-17,96.46
User_803,2023-09-20,108.21
User_1836,2016-01-18,98.52
User_1011,2014-06-29,95.8
User_1579,2018-04-02,93.31
User_1687,2016-03-20,92.73
User_1190,2023-03-07,96.07
User_468,2021-03-17,98.16
User_1290,2017-12-30,90.14
User_586,2019-05-19,98.99
User_482,2019-03-16,106.0
User_1592,2018-05-06,98.46
User_1229,2014-06-21,100.94
User_624,2020-09-17,91.4
User_108,2022-10-23,98.98
User_1178,2020-07-11,90.24
User_876,2022-01-18,109.89
User_1493,2022-04-28,92.92
User_1791,2020-05-24,94.53
User_438,2014-10-05,90.94
User_756,2023-08-03,107.15
User_141,2020-01-29,108.47
User_344,2018-08-29,97.02
User_655,2020-08-29,104.56
User_385,2015-03-31,104.61
User_648,2016-08-11,90.94
User_295,2015-12-29,93.25
User_240,2018-07-22,97.27
User_345,2015-10-26,95.65
User_955,2021-09-23,104.41
User_1096,2017-07-01,96.83
User_1654,2016-11-19,92.83
User_228,2022-06-28,104.48
User_1215,2019-05-21,98.16
User_902,2024-04-20,98.59
User_658,2021-08-07,91.27
User_1148,2022-05-07,108.01
User_1635,2018-10-24,98.11
User_922,2015-01-20,95.94
User_1596,2019-08-15,99.77
User_1170,2016-11-10,103.96
User_399,2017-03-03,96.02
User_379,2020-02-13,99.76
User_738,2022-08-05,91.86
User_1657,2018-12-06,94.75
User_1230,2018-02-04,90.23
User_1754,2019-11-06,98.86
User_1696,2019-01-23,108.24
User_1407,2020-01-17,102.3
User_287,2017-07-23,108.85
User_1319,2016-12-24,107.79
User_1141,2016-11-24,98.21
User_1659,2022-01-05,106.83
User_1943,2018-05-23,90.11
User_902,2021-07-17,96.48
User_1616,2022-03-04,106.06
User_579,2015-10-21,102.38
User_1667,2015-06-08,98.04
User_529,2022-08-21,108.11
User_525,2017-07-18,104.19
User_690,2022-04-10,96.06
User_1990,2016-02-16,93.84
User_1230,2017-12-31,107.39
User_824,2020-11-06,97.33
User_85,2018-05-17,91.64
User_1663,2021-05-28,109.62
User_323,2018-07-23,107.47
User_619,2020-11-03,98.01
User_939,2021-09-02,90.65
User_1654,2017-12-30,98.85
User_1095,2021-02-13,92.28
User_65,2015-09-23,93.76
User_22,2016-04-28,91.14
User_1228,2020-10-21,95.82
User_1641,2020-01-21,108.03
User_339,2020-02-21,91.15
User_207,2015-04-17,94.14
User_1272,2016-04-20,91.59
